"Occupancy","Capacity","QueueLength","TrafficConditionNearby","IsSpecialDay","VehicleType","Model2Price","time","diff"
"649","687","8","high","0","bike","13.91","1752074098718","1"
"181","485","2","low","0","car","11.56","1752074098718","1"
"174","387","3","low","1","car","12.29","1752074098718","1"
"1271","2937","8","high","0","car","13.78","1752074098718","1"
"843","1200","2","low","0","bike","11.54","1752074098718","1"
"1145","3883","3","low","0","car","11.91","1752074098718","1"
"869","1322","8","high","0","car","13.96","1752074098718","1"
"3130","3883","5","low","0","car","13.17","1752074098718","1"
"126","470","9","high","1","car","14.31","1752074098718","1"
"390","387","8","high","0","bike","13.96","1752074098718","1"
"2001","3883","3","low","0","car","12.1","1752074098718","1"
"1204","2937","10","high","0","car","14.59","1752074098718","1"
"633","1322","2","low","0","car","11.65","1752074098718","1"
"1087","1920","3","low","0","bike","11.85","1752074098718","1"
"726","1322","9","high","0","car","14.29","1752074098718","1"
"709","2009","7","average","1","car","13.71","1752074098718","1"
"55","577","1","low","0","car","10.91","1752074098718","1"
"1178","3883","12","high","1","car","15.59","1752074098718","1"
"731","1920","6","average","0","car","13.07","1752074098718","1"
"615","687","4","average","0","car","12.66","1752074098718","1"
"351","1322","3","low","1","car","12.14","1752074098718","1"
"1353","1920","6","average","0","car","13.34","1752074098718","1"
"217","485","7","high","0","bike","13.08","1752074098718","1"
"434","470","5","average","0","bike","12.81","1752074098718","1"
"520","2937","2","low","0","bike","11.11","1752074098718","1"
"589","690","3","low","0","cycle","12.38","1752074098718","1"
"561","687","2","low","0","car","11.93","1752074098718","1"
"898","1200","8","high","0","car","14.04","1752074098718","1"
"334","485","4","low","1","car","12.91","1752074098718","1"
"375","387","2","low","0","cycle","12.06","1752074098718","1"
"851","1200","4","average","0","car","12.51","1752074098718","1"
"317","485","2","low","0","car","11.79","1752074098718","1"
"744","1322","6","average","0","car","13.22","1752074098718","1"
"483","687","4","average","0","truck","12.79","1752074098718","1"
"148","470","3","average","0","bike","11.47","1752074098718","1"
"22","577","1","low","0","truck","11.16","1752074098718","1"
"1296","1920","4","low","0","car","12.65","1752074098718","1"
"755","1200","3","low","0","car","12.19","1752074098718","1"
"1110","2937","4","average","0","bike","11.94","1752074098718","1"
"889","1322","7","average","0","car","13.73","1752074098718","1"
"1247","2937","5","average","0","car","12.69","1752074098718","1"
"216","387","3","average","0","truck","12.26","1752074098718","1"
"717","1200","4","average","0","truck","12.71","1752074098718","1"
"633","687","8","high","0","car","14.18","1752074098718","1"
"321","1200","4","average","1","bike","12.1","1752074098718","1"
"358","1920","4","low","1","car","12.49","1752074098718","1"
"1378","2009","5","average","0","bike","12.61","1752074098718","1"
"260","485","2","low","0","truck","11.99","1752074098718","1"
"374","470","3","average","0","car","12.16","1752074098718","1"
"767","1322","6","average","1","bike","13.19","1752074098718","1"
"15","577","1","low","0","car","10.85","1752074098718","1"
"698","1322","4","average","0","car","12.36","1752074098718","1"
"390","387","3","low","0","bike","12.21","1752074098718","1"
"805","1322","8","high","0","bike","13.63","1752074098718","1"
"1206","2009","8","high","0","car","13.92","1752074098718","1"
"123","470","1","low","0","car","11.05","1752074098718","1"
"717","1200","6","average","0","car","13.25","1752074098718","1"
"379","387","6","average","0","car","13.57","1752074098718","1"
"1451","1920","4","average","0","car","12.55","1752074098718","1"
"2371","3883","4","average","0","car","12.43","1752074098718","1"
"1381","2937","5","average","0","bike","12.43","1752074098718","1"
"321","485","7","high","0","car","13.55","1752074098718","1"
"286","485","5","average","0","car","12.82","1752074098718","1"
"911","2937","6","average","1","car","13.26","1752074098718","1"
"870","1322","2","low","0","car","11.8","1752074098718","1"
"878","2937","2","low","0","car","11.5","1752074098718","1"
"384","485","6","high","0","car","13.24","1752074098718","1"
"426","470","7","high","0","car","13.76","1752074098718","1"
"3229","3883","5","average","0","cycle","13.03","1752074098718","1"
"1490","1920","3","low","0","bike","12.02","1752074098718","1"
"319","485","2","low","0","car","11.8","1752074098718","1"
"1052","3103","3","low","0","cycle","11.95","1752074098718","1"
"35","577","1","low","0","car","10.88","1752074098718","1"
"2126","3883","3","low","0","bike","11.83","1752074098718","1"
"1188","2937","2","low","0","cycle","11.59","1752074098718","1"
"642","690","6","average","0","car","13.53","1752074098718","1"
"1581","3103","4","low","0","car","12.51","1752074098718","1"
"636","1920","4","low","0","car","12.36","1752074098718","1"
"617","690","6","average","0","car","13.5","1752074098718","1"
"160","577","3","average","0","car","11.73","1752074098718","1"
"591","687","4","average","0","truck","12.93","1752074098718","1"
"883","2009","3","low","0","car","12.03","1752074098718","1"
"402","387","7","high","0","car","13.87","1752074098718","1"
"931","3103","5","average","0","bike","12.29","1752074098718","1"
"728","1322","9","high","0","bike","14.0","1752074098718","1"
"1349","3103","5","average","0","bike","12.4","1752074098718","1"
"314","387","3","average","0","cycle","12.18","1752074098718","1"
"760","1200","8","high","0","car","13.94","1752074098718","1"
"266","485","2","low","0","bike","11.42","1752074098718","1"
"640","690","6","high","0","car","13.36","1752074098718","1"
"572","690","3","low","0","car","12.36","1752074098718","1"
"915","2937","11","high","1","car","15.18","1752074098718","1"
"395","387","8","high","0","car","14.27","1752074098718","1"
"171","577","2","low","0","bike","11.21","1752074098718","1"
"644","3883","5","average","1","car","12.72","1752074098718","1"
"434","2803","3","low","0","truck","12.09","1752074098718","1"
"1342","2937","10","high","0","truck","14.92","1752074098718","1"
"1552","1920","6","average","0","car","13.42","1752074098718","1"
"1023","2803","2","low","0","bike","11.26","1752074098718","1"
"283","387","3","low","0","car","12.28","1752074098718","1"
"400","687","2","low","0","car","11.74","1752074098718","1"
"1334","1920","9","high","0","cycle","14.41","1752074098718","1"
"3454","3883","11","high","0","car","15.41","1752074098718","1"
"1084","2937","2","low","0","car","11.56","1752074098718","1"
"287","387","4","average","0","car","12.53","1752074098718","1"
"841","3883","3","low","1","truck","12.39","1752074098718","1"
"1432","1920","3","low","0","cycle","12.29","1752074098718","1"
"851","1200","6","average","0","bike","13.05","1752074098718","1"
"755","1200","6","average","0","bike","12.98","1752074098718","1"
"740","1200","4","average","0","car","12.43","1752074098718","1"
"1439","1920","9","high","0","car","14.46","1752074098718","1"
"1381","1920","3","low","0","cycle","12.27","1752074098718","1"
"215","577","5","average","0","car","12.64","1752074098718","1"
"378","2803","8","high","0","car","13.53","1752074098718","1"
"651","687","6","average","0","truck","13.83","1752074098718","1"
"425","1322","3","low","0","car","11.93","1752074098718","1"
"334","387","5","average","0","car","13.05","1752074098718","1"
"271","687","2","low","0","car","11.58","1752074098718","1"
"595","2803","6","average","0","car","12.93","1752074098718","1"
"345","387","6","average","1","car","13.74","1752074098718","1"
"636","1920","6","average","1","car","13.28","1752074098718","1"
"622","2803","8","high","0","car","13.6","1752074098718","1"
"643","1200","6","average","0","car","13.2","1752074098718","1"
"417","577","4","average","0","car","12.52","1752074098718","1"
"83","577","2","low","0","bike","11.08","1752074098718","1"
"173","2803","3","low","1","truck","12.26","1752074098718","1"
"1522","1920","5","average","0","cycle","12.99","1752074098718","1"
"222","2803","1","low","0","cycle","10.9","1752074098718","1"
"1020","3103","8","high","0","car","13.69","1752074098718","1"
"1248","2937","5","average","0","car","12.69","1752074098718","1"
"891","1920","4","average","0","car","12.3","1752074098718","1"
"367","387","8","high","0","car","14.21","1752074098718","1"
"510","2803","2","average","0","car","11.23","1752074098718","1"
"547","2937","2","low","0","bike","11.11","1752074098718","1"
"1287","3103","7","average","0","bike","13.22","1752074098718","1"
"292","485","3","low","0","bike","11.88","1752074098718","1"
"3408","3883","7","average","0","car","13.9","1752074098718","1"
"229","1200","9","high","1","car","14.24","1752074098718","1"
"1219","3103","8","high","0","cycle","13.74","1752074098718","1"
"386","387","3","low","0","bike","12.21","1752074098718","1"
"1514","1920","9","high","0","car","14.49","1752074098718","1"
"507","3883","2","low","0","car","11.36","1752074098718","1"
"554","2803","2","low","0","truck","11.71","1752074098718","1"
"682","2009","2","low","0","cycle","11.53","1752074098718","1"
"928","3103","5","average","0","bike","12.29","1752074098718","1"
"1247","2009","4","average","0","cycle","12.43","1752074098718","1"
"1180","2937","10","high","0","truck","14.88","1752074098718","1"
"325","485","5","average","0","car","12.89","1752074098718","1"
"1313","2937","6","average","0","car","13.12","1752074098718","1"
"530","690","2","low","0","truck","12.18","1752074098718","1"
"51","470","1","low","0","car","10.92","1752074098718","1"
"191","2803","2","low","1","car","11.56","1752074098718","1"
"631","687","8","high","0","bike","13.89","1752074098718","1"
"531","687","9","high","0","bike","14.19","1752074098718","1"
"200","577","4","average","0","truck","12.5","1752074098718","1"
"875","3103","6","average","0","bike","12.69","1752074098718","1"
"300","485","3","average","0","car","12.02","1752074098718","1"
"71","690","3","average","1","car","11.84","1752074098718","1"
"833","1322","8","high","0","truck","14.23","1752074098718","1"
"420","470","5","average","0","car","13.08","1752074098718","1"
"666","690","6","average","0","car","13.55","1752074098718","1"
"148","577","2","low","0","car","11.46","1752074098718","1"
"128","577","4","high","0","truck","12.23","1752074098718","1"
"2957","3883","4","low","0","car","12.72","1752074098718","1"
"333","687","2","low","0","car","11.65","1752074098718","1"
"363","485","4","average","0","car","12.54","1752074098718","1"
"1250","2009","5","average","0","car","12.85","1752074098718","1"
"227","577","6","high","0","car","12.91","1752074098718","1"
"1088","2937","2","low","0","bike","11.27","1752074098718","1"
"1345","2937","7","high","0","car","13.38","1752074098718","1"
"882","1200","8","high","0","cycle","14.03","1752074098718","1"
"507","690","2","low","0","car","11.86","1752074098718","1"
"226","690","2","low","0","truck","11.81","1752074098718","1"
"401","387","7","high","0","car","13.86","1752074098718","1"
"777","2803","8","high","0","car","13.65","1752074098718","1"
"846","2009","3","low","0","car","12.02","1752074098718","1"
"50","577","1","low","0","car","10.91","1752074098718","1"
"562","687","9","high","0","cycle","14.52","1752074098718","1"
"814","3103","3","low","0","car","11.89","1752074098718","1"
"695","1200","5","average","0","car","12.82","1752074098718","1"
"260","2803","2","low","0","car","11.33","1752074098718","1"
"889","3883","4","low","1","bike","12.23","1752074098718","1"
"1521","1920","5","average","0","car","12.99","1752074098718","1"
